Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,170510,-170510
3,0,0,256820,-256820
4,71229,25271,315830,-290559
5,808752,139055,342840,-203785
6,926819,189262,385200,-195938
7,1037113,242150,427910,-185760
8,1152363,298513,476120,-177607
9,1270423,357651,504980,-147329
10,3835480,976707,533490,443217
11,4425178,1279746,562829,716917
12,4958597,1605269,592275,1012994
13,5525183,1935670,621781,1313889
14,7695312,2519327,662454,1856873
15,7817783,2584524,700972,1883552
16,7927710,2646402,774634,1871768
17,9337762,3182144,862902,2319242
18,10317876,3369950,905457,2464493
19,10430840,3437395,947999,2489396
20,10542410,3501778,1009805,2491973
21,10661528,3569092,1071905,2497187
22,11836254,3951396,1133531,2817865
23,11955319,4012806,1216051,2796755
24,12838373,4174752,1327242,2847510
25,12941571,4237315,1472132,2765183
26,13129050,4344715,1544638,2800077
27,13318334,4452461,1616100,2836361
28,13531289,4569960,1686768,2883192
29,14053728,4980391,1831395,3148996
30,14247227,5092129,1902976,3189153
31,14810528,5272417,1981856,3290561
32,16014772,5410699,2050836,3359863
33,16257804,5532444,2118829,3413615
34,16454578,5640823,2202687,3438136
35,16647182,5742518,2271228,3471290
36,17720319,6011524,2341210,3670314
37,18621639,6634465,2409082,4225383
38,19483943,7208706,2476902,4731804
39,21376633,7840394,2559718,5280676
40,21531833,7937552,2627144,5310408
41,21679567,8034006,2695099,5338907
42,21934215,8210063,2763629,5446434
43,22115248,8344083,2831847,5512236
44,22233234,8420496,3021257,5399239
45,22668916,8788923,3225356,5563567
46,22805791,8859080,3368955,5490125
47,23096523,9078538,3512469,5566069
48,23286248,9241474,3655718,5585756
49,23831656,9328323,3805999,5522324
50,23908197,9350943,3970221,5380722
51,24297548,9420886,4099310,5321576
52,24368138,9464583,4278807,5185776
53,24704944,9767963,4426238,5341725
54,25054825,10083732,4589063,5494669
55,25358636,10261912,4782675,5479237
56,25695389,10422163,4914185,5507978
57,27790451,11026253,5115356,5910897
58,28071159,11198812,5251502,5947310
59,28184137,11252109,5429756,5822353
60,28436973,11481494,5622955,5858539
61,28495121,11521023,5774856,5746167
62,28748234,11756629,5909841,5846788
63,28805242,11794442,6059620,5734822
64,28993964,11960356,6224643,5735713
65,29051495,11992681,6388736,5603945
66,29142321,12056100,6537630,5518470
67,29614640,12069746,6662100,5407646
68,29704856,12133232,6786422,5346810
69,29823440,12226880,6942992,5283888
70,29916414,12293389,7097686,5195703
71,30006452,12359039,7252219,5106820
72,30098622,12426089,7376821,5049268
73,30228159,12517744,7503082,5014662
74,30343067,12592625,7641629,4950996
75,31041228,12909814,7783448,5126366
76,31880331,13083013,7904882,5178131
77,31971317,13149704,8011082,5138622
78,32910199,13900272,8113649,5786623
79,33774264,14388119,8232012,6156107
80,34445650,14875813,8361588,6514225
81,35406973,15384238,8467182,6917056
82,36796157,15881172,8555961,7325211
83,36901790,16150994,8644581,7506413
84,36977521,16260826,8743478,7517348
85,37697605,16339399,8856901,7482498
86,40124068,16626479,8969887,7656592
87,40242079,16698827,9043838,7654989
88,40339875,16761894,9120634,7641260
89,41633471,17170704,9212085,7958619
90,42295133,17346374,9345335,8001039
